title,published_date,category,rank,date_datetime
CRYING IN H MART,2023-04-09,biography & autobiography,12,2023-04-09 17:34:46.978746
ALL MY KNOTTED-UP LIFE,2023-04-09,biography & autobiography,13,2023-04-09 17:34:46.978746
THE NAZI CONSPIRACY,2023-04-09,biography & autobiography,14,2023-04-09 17:34:46.978746
IT'S OK TO BE ANGRY ABOUT CAPITALISM,2023-04-09,political science,15,2023-04-09 17:34:46.978746
SPARE,2023-03-05,biography & autobiography,1,2023-03-05 17:34:46.978746
THE BODY KEEPS THE SCORE,2023-03-05,medical,2,2023-03-05 17:34:46.978746
UNSCRIPTED,2023-03-05,business & economics,3,2023-03-05 17:34:46.978746
I'M GLAD MY MOM DIED,2023-03-05,biography & autobiography,4,2023-03-05 17:34:46.978746
CASTE,2023-03-05,social science,5,2023-03-05 17:34:46.978746
THE LIGHT WE CARRY,2023-03-05,biography & autobiography,6,2023-03-05 17:34:46.978746
BITTERSWEET,2023-03-05,psychology,8,2023-03-05 17:34:46.978746
THE CLIMATE BOOK,2023-03-05,science,9,2023-03-05 17:34:46.978746
THE NAZI CONSPIRACY,2023-03-05,biography & autobiography,10,2023-03-05 17:34:46.978746
WALK THE BLUE LINE,2023-03-05,biography & autobiography,11,2023-03-05 17:34:46.978746
KILLERS OF THE FLOWER MOON,2023-03-05,true crime,12,2023-03-05 17:34:46.978746
ALL ABOUT LOVE,2023-03-05,family & relationships,13,2023-03-05 17:34:46.978746
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",2023-03-05,biography & autobiography,15,2023-03-05 17:34:46.978746
SPARE,2023-01-29,biography & autobiography,1,2023-01-29 17:34:46.978746
THE LIGHT WE CARRY,2023-01-29,biography & autobiography,2,2023-01-29 17:34:46.978746
I'M GLAD MY MOM DIED,2023-01-29,biography & autobiography,3,2023-01-29 17:34:46.978746
THE BODY KEEPS THE SCORE,2023-01-29,medical,4,2023-01-29 17:34:46.978746
THE NAZI CONSPIRACY,2023-01-29,biography & autobiography,5,2023-01-29 17:34:46.978746
YOU JUST NEED TO LOSE WEIGHT,2023-01-29,social science,6,2023-01-29 17:34:46.978746
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",2023-01-29,biography & autobiography,7,2023-01-29 17:34:46.978746
THE REVOLUTIONARY,2023-01-29,biography & autobiography,8,2023-01-29 17:34:46.978746
AN IMMENSE WORLD,2023-01-29,nature,9,2023-01-29 17:34:46.978746
THE JANUARY 6TH REPORT,2023-01-29,political science,10,2023-01-29 17:34:46.978746
ALL ABOUT LOVE,2023-01-29,family & relationships,11,2023-01-29 17:34:46.978746
BRAIDING SWEETGRASS,2023-01-29,nature,12,2023-01-29 17:34:46.978746
GOOD FOR A GIRL,2023-01-29,biography & autobiography,13,2023-01-29 17:34:46.978746
AND THERE WAS LIGHT,2023-01-29,biography & autobiography,14,2023-01-29 17:34:46.978746
THE MYTH OF NORMAL,2023-01-29,psychology,15,2023-01-29 17:34:46.978746
THE LIGHT WE CARRY,2022-12-25,biography & autobiography,1,2022-12-25 17:34:46.978746
I'M GLAD MY MOM DIED,2022-12-25,biography & autobiography,2,2022-12-25 17:34:46.978746
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",2022-12-25,biography & autobiography,3,2022-12-25 17:34:46.978746
THE BODY KEEPS THE SCORE,2022-12-25,medical,4,2022-12-25 17:34:46.978746
SURRENDER,2022-12-25,biography & autobiography,5,2022-12-25 17:34:46.978746
AND THERE WAS LIGHT,2022-12-25,biography & autobiography,6,2022-12-25 17:34:46.978746
THE REVOLUTIONARY,2022-12-25,biography & autobiography,7,2022-12-25 17:34:46.978746
SO HELP ME GOD,2022-12-25,biography & autobiography,8,2022-12-25 17:34:46.978746
THE SONG OF THE CELL,2022-12-25,history,9,2022-12-25 17:34:46.978746
THE PHILOSOPHY OF MODERN SONG,2022-12-25,music,10,2022-12-25 17:34:46.978746
WHAT IF? 2,2022-12-25,humor,11,2022-12-25 17:34:46.978746
A BOOK OF DAYS,2022-12-25,literary collections,12,2022-12-25 17:34:46.978746
RADIO'S GREATEST OF ALL TIME,2022-12-25,biography & autobiography,13,2022-12-25 17:34:46.978746
CINEMA SPECULATION,2022-12-25,biography & autobiography,14,2022-12-25 17:34:46.978746
BRAIDING SWEETGRASS,2022-12-25,nature,15,2022-12-25 17:34:46.978746
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",2022-11-20,biography & autobiography,1,2022-11-20 17:34:46.978746
SURRENDER,2022-11-20,biography & autobiography,2,2022-11-20 17:34:46.978746
THE PHILOSOPHY OF MODERN SONG,2022-11-20,music,3,2022-11-20 17:34:46.978746
I'M GLAD MY MOM DIED,2022-11-20,biography & autobiography,4,2022-11-20 17:34:46.978746
CINEMA SPECULATION,2022-11-20,biography & autobiography,5,2022-11-20 17:34:46.978746
AND THERE WAS LIGHT,2022-11-20,biography & autobiography,6,2022-11-20 17:34:46.978746
THE BODY KEEPS THE SCORE,2022-11-20,medical,7,2022-11-20 17:34:46.978746
THE SONG OF THE CELL,2022-11-20,history,8,2022-11-20 17:34:46.978746
RADIO'S GREATEST OF ALL TIME,2022-11-20,biography & autobiography,9,2022-11-20 17:34:46.978746
THE REVOLUTIONARY,2022-11-20,biography & autobiography,10,2022-11-20 17:34:46.978746
JUSTICE CORRUPTED,2022-11-20,political science,11,2022-11-20 17:34:46.978746
THE EXTRAORDINARY LIFE OF AN ORDINARY MAN,2022-11-20,biography & autobiography,12,2022-11-20 17:34:46.978746
CONFIDENCE MAN,2022-11-20,political science,13,2022-11-20 17:34:46.978746
FROM SCRATCH,2022-11-20,biography & autobiography,14,2022-11-20 17:34:46.978746
KILLING THE LEGENDS,2022-11-20,biography & autobiography,15,2022-11-20 17:34:46.978746
I'M GLAD MY MOM DIED,2022-10-16,biography & autobiography,1,2022-10-16 17:34:46.978746
LIVE WIRE,2022-10-16,biography & autobiography,2,2022-10-16 17:34:46.978746
KILLING THE LEGENDS,2022-10-16,biography & autobiography,3,2022-10-16 17:34:46.978746
STARRY MESSENGER,2022-10-16,science,4,2022-10-16 17:34:46.978746
THE BODY KEEPS THE SCORE,2022-10-16,medical,5,2022-10-16 17:34:46.978746
THE DIVIDER,2022-10-16,history,6,2022-10-16 17:34:46.978746
ADRIFT,2022-10-16,political science,7,2022-10-16 17:34:46.978746
THE MOSQUITO BOWL,2022-10-16,biography & autobiography,8,2022-10-16 17:34:46.978746
THE BREACH,2022-10-16,political science,9,2022-10-16 17:34:46.978746
DINNERS WITH RUTH,2022-10-16,biography & autobiography,10,2022-10-16 17:34:46.978746
AMERICAN PSYCHOSIS,2022-10-16,history,11,2022-10-16 17:34:46.978746
WHAT IF? 2,2022-10-16,humor,12,2022-10-16 17:34:46.978746
THE MYTH OF NORMAL,2022-10-16,psychology,13,2022-10-16 17:34:46.978746
SOLITO,2022-10-16,biography & autobiography,14,2022-10-16 17:34:46.978746
PROFILES IN IGNORANCE,2022-10-16,biography & autobiography,15,2022-10-16 17:34:46.978746
I'M GLAD MY MOM DIED,2022-09-11,biography & autobiography,1,2022-09-11 17:34:46.978746
BREAKING HISTORY,2022-09-11,biography & autobiography,2,2022-09-11 17:34:46.978746
THE BODY KEEPS THE SCORE,2022-09-11,medical,3,2022-09-11 17:34:46.978746
"DIANA, WILLIAM, AND HARRY",2022-09-11,biography & autobiography,4,2022-09-11 17:34:46.978746
PATH LIT BY LIGHTNING,2022-09-11,biography & autobiography,5,2022-09-11 17:34:46.978746
CRYING IN H MART,2022-09-11,biography & autobiography,6,2022-09-11 17:34:46.978746
BRAIDING SWEETGRASS,2022-09-11,nature,7,2022-09-11 17:34:46.978746
BORN A CRIME,2022-09-11,biography & autobiography,8,2022-09-11 17:34:46.978746
JUST MERCY,2022-09-11,law,9,2022-09-11 17:34:46.978746
EDUCATED,2022-09-11,biography & autobiography,10,2022-09-11 17:34:46.978746
ALL ABOUT LOVE,2022-09-11,family & relationships,11,2022-09-11 17:34:46.978746
FINDING ME,2022-09-11,biography & autobiography,12,2022-09-11 17:34:46.978746
GREENLIGHTS,2022-09-11,biography & autobiography,13,2022-09-11 17:34:46.978746
LIFE ON THE MISSISSIPPI,2022-09-11,history,14,2022-09-11 17:34:46.978746
WHAT HAPPENED TO YOU?,2022-09-11,psychology,15,2022-09-11 17:34:46.978746
THE BODY KEEPS THE SCORE,2022-08-07,medical,1,2022-08-07 17:34:46.978746
"DIRTBAG, MASSACHUSETTS",2022-08-07,biography & autobiography,2,2022-08-07 17:34:46.978746
THANK YOU FOR YOUR SERVITUDE,2022-08-07,political science,3,2022-08-07 17:34:46.978746
HAPPY-GO-LUCKY,2022-08-07,family & relationships,4,2022-08-07 17:34:46.978746
FINDING ME,2022-08-07,biography & autobiography,5,2022-08-07 17:34:46.978746
THEY WANT TO KILL AMERICANS,2022-08-07,political science,6,2022-08-07 17:34:46.978746
CRYING IN H MART,2022-08-07,biography & autobiography,7,2022-08-07 17:34:46.978746
BRAIDING SWEETGRASS,2022-08-07,nature,8,2022-08-07 17:34:46.978746
JUST MERCY,2022-08-07,law,9,2022-08-07 17:34:46.978746
BATTLE FOR THE AMERICAN MIND,2022-08-07,education,10,2022-08-07 17:34:46.978746
ANY GIVEN TUESDAY,2022-08-07,biography & autobiography,11,2022-08-07 17:34:46.978746
BORN A CRIME,2022-08-07,biography & autobiography,12,2022-08-07 17:34:46.978746
AN IMMENSE WORLD,2022-08-07,nature,13,2022-08-07 17:34:46.978746
JAMES PATTERSON,2022-08-07,biography & autobiography,14,2022-08-07 17:34:46.978746
ALL ABOUT LOVE,2022-08-07,family & relationships,15,2022-08-07 17:34:46.978746
BATTLE FOR THE AMERICAN MIND,2022-07-03,education,1,2022-07-03 17:34:46.978746
"I'D LIKE TO PLAY ALONE, PLEASE",2022-07-03,biography & autobiography,2,2022-07-03 17:34:46.978746
JAMES PATTERSON,2022-07-03,biography & autobiography,3,2022-07-03 17:34:46.978746
KILLING THE KILLERS,2022-07-03,history,4,2022-07-03 17:34:46.978746
THE BODY KEEPS THE SCORE,2022-07-03,medical,5,2022-07-03 17:34:46.978746
HAPPY-GO-LUCKY,2022-07-03,family & relationships,6,2022-07-03 17:34:46.978746
ROUGH DRAFT,2022-07-03,biography & autobiography,7,2022-07-03 17:34:46.978746
RIVER OF THE GODS,2022-07-03,history,8,2022-07-03 17:34:46.978746
FINDING ME,2022-07-03,biography & autobiography,9,2022-07-03 17:34:46.978746
HOW TO RAISE AN ANTIRACIST,2022-07-03,family & relationships,10,2022-07-03 17:34:46.978746
PHIL,2022-07-03,biography & autobiography,11,2022-07-03 17:34:46.978746
THE END OF THE WORLD IS JUST THE BEGINNING,2022-07-03,business & economics,12,2022-07-03 17:34:46.978746
GREENLIGHTS,2022-07-03,biography & autobiography,13,2022-07-03 17:34:46.978746
CRYING IN H MART,2022-07-03,biography & autobiography,14,2022-07-03 17:34:46.978746
THE PALACE PAPERS,2022-07-03,biography & autobiography,15,2022-07-03 17:34:46.978746
KILLING THE KILLERS,2022-05-29,history,1,2022-05-29 17:34:46.978746
FINDING ME,2022-05-29,biography & autobiography,2,2022-05-29 17:34:46.978746
LILY'S PROMISE,2022-05-29,biography & autobiography,4,2022-05-29 17:34:46.978746
THE BODY KEEPS THE SCORE,2022-05-29,medical,5,2022-05-29 17:34:46.978746
THE PALACE PAPERS,2022-05-29,biography & autobiography,6,2022-05-29 17:34:46.978746
THIS WILL NOT PASS,2022-05-29,biography & autobiography,7,2022-05-29 17:34:46.978746
HOW THE WORLD REALLY WORKS,2022-05-29,science,8,2022-05-29 17:34:46.978746
OUT OF THE CORNER,2022-05-29,biography & autobiography,9,2022-05-29 17:34:46.978746
ALI'S WELL THAT ENDS WELL,2022-05-29,biography & autobiography,10,2022-05-29 17:34:46.978746
EDUCATED,2022-05-29,biography & autobiography,11,2022-05-29 17:34:46.978746
BACK TO THE PRAIRIE,2022-05-29,biography & autobiography,12,2022-05-29 17:34:46.978746
HEARTS TOUCHED WITH FIRE,2022-05-29,biography & autobiography,13,2022-05-29 17:34:46.978746
CRYING IN H MART,2022-05-29,biography & autobiography,14,2022-05-29 17:34:46.978746
UNDER THE BANNER OF HEAVEN,2022-05-29,true crime,15,2022-05-29 17:34:46.978746
THE BODY KEEPS THE SCORE,2022-03-20,medical,1,2022-03-20 17:34:46.978746
RED-HANDED,2022-03-20,political science,2,2022-03-20 17:34:46.978746
COMEDY COMEDY COMEDY DRAMA,2022-03-20,biography & autobiography,3,2022-03-20 17:34:46.978746
THE 1619 PROJECT,2022-03-20,history,4,2022-03-20 17:34:46.978746
THE BEAUTY OF DUSK,2022-03-20,biography & autobiography,5,2022-03-20 17:34:46.978746
FROM STRENGTH TO STRENGTH,2022-03-20,self-help,6,2022-03-20 17:34:46.978746
BLACK OPS,2022-03-20,biography & autobiography,7,2022-03-20 17:34:46.978746
THE SPLENDID AND THE VILE,2022-03-20,history,8,2022-03-20 17:34:46.978746
THE INVISIBLE KINGDOM,2022-03-20,health & fitness,9,2022-03-20 17:34:46.978746
EDUCATED,2022-03-20,biography & autobiography,10,2022-03-20 17:34:46.978746
CRYING IN H MART,2022-03-20,biography & autobiography,11,2022-03-20 17:34:46.978746
ALLOW ME TO RETORT,2022-03-20,law,12,2022-03-20 17:34:46.978746
I WAS BETTER LAST NIGHT,2022-03-20,biography & autobiography,13,2022-03-20 17:34:46.978746
ALL ABOUT LOVE,2022-03-20,family & relationships,14,2022-03-20 17:34:46.978746
THE NINETIES,2022-03-20,social science,15,2022-03-20 17:34:46.978746
RED-HANDED,2022-02-13,political science,1,2022-02-13 17:34:46.978746
HOW TO BE PERFECT,2022-02-13,humor,2,2022-02-13 17:34:46.978746
THE BODY KEEPS THE SCORE,2022-02-13,medical,3,2022-02-13 17:34:46.978746
THE 1619 PROJECT,2022-02-13,history,4,2022-02-13 17:34:46.978746
ENOUGH ALREADY,2022-02-13,biography & autobiography,5,2022-02-13 17:34:46.978746
SOUTH TO AMERICA,2022-02-13,biography & autobiography,6,2022-02-13 17:34:46.978746
THE BETRAYAL OF ANNE FRANK,2022-02-13,history,7,2022-02-13 17:34:46.978746
TASTE,2022-02-13,biography & autobiography,8,2022-02-13 17:34:46.978746
CRYING IN H MART,2022-02-13,biography & autobiography,9,2022-02-13 17:34:46.978746
WILL,2022-02-13,biography & autobiography,10,2022-02-13 17:34:46.978746
BRAIDING SWEETGRASS,2022-02-13,nature,11,2022-02-13 17:34:46.978746
UNTHINKABLE,2022-02-13,biography & autobiography,12,2022-02-13 17:34:46.978746
THE STORYTELLER,2022-02-13,biography & autobiography,13,2022-02-13 17:34:46.978746
ALL ABOUT LOVE,2022-02-13,family & relationships,14,2022-02-13 17:34:46.978746
GREENLIGHTS,2022-02-13,biography & autobiography,15,2022-02-13 17:34:46.978746
THE 1619 PROJECT,2021-12-05,history,1,2021-12-05 17:34:46.978746
ALL AMERICAN CHRISTMAS,2021-12-05,biography & autobiography,2,2021-12-05 17:34:46.978746
BETRAYAL,2021-12-05,political science,3,2021-12-05 17:34:46.978746
WILL,2021-12-05,biography & autobiography,4,2021-12-05 17:34:46.978746
THE REAL ANTHONY FAUCI,2021-12-05,health & fitness,5,2021-12-05 17:34:46.978746
THE LYRICS: 1956 TO THE PRESENT,2021-12-05,music,6,2021-12-05 17:34:46.978746
THE STORYTELLER,2021-12-05,biography & autobiography,7,2021-12-05 17:34:46.978746
THE PRESIDENT AND THE FREEDOM FIGHTER,2021-12-05,history,8,2021-12-05 17:34:46.978746
THE DAWN OF EVERYTHING,2021-12-05,history,9,2021-12-05 17:34:46.978746
WELCOME TO DUNDER MIFFLIN,2021-12-05,humor,10,2021-12-05 17:34:46.978746
THE BODY KEEPS THE SCORE,2021-12-05,medical,11,2021-12-05 17:34:46.978746
TASTE,2021-12-05,biography & autobiography,12,2021-12-05 17:34:46.978746
THE HOUSE OF GUCCI,2021-12-05,biography & autobiography,13,2021-12-05 17:34:46.978746
GOING THERE,2021-12-05,biography & autobiography,14,2021-12-05 17:34:46.978746
RENEGADES,2021-12-05,social science,15,2021-12-05 17:34:46.978746
MIDNIGHT IN WASHINGTON,2021-10-31,political science,1,2021-10-31 17:34:46.978746
TO RESCUE THE REPUBLIC,2021-10-31,biography & autobiography,2,2021-10-31 17:34:46.978746
THE STORYTELLER,2021-10-31,biography & autobiography,3,2021-10-31 17:34:46.978746
THE BOYS,2021-10-31,biography & autobiography,4,2021-10-31 17:34:46.978746
PERIL,2021-10-31,biography & autobiography,5,2021-10-31 17:34:46.978746
E.R. NURSES,2021-10-31,biography & autobiography,6,2021-10-31 17:34:46.978746
VANDERBILT,2021-10-31,history,7,2021-10-31 17:34:46.978746
THE BEATLES: GET BACK,2021-10-31,biography & autobiography,8,2021-10-31 17:34:46.978746
IT'S BETTER TO BE FEARED,2021-10-31,sports & recreation,9,2021-10-31 17:34:46.978746
TASTE,2021-10-31,biography & autobiography,10,2021-10-31 17:34:46.978746
THE BODY KEEPS THE SCORE,2021-10-31,medical,11,2021-10-31 17:34:46.978746
AMERICAN MARXISM,2021-10-31,political science,12,2021-10-31 17:34:46.978746
THERE IS NOTHING FOR YOU HERE,2021-10-31,biography & autobiography,13,2021-10-31 17:34:46.978746
MAID,2021-10-31,biography & autobiography,14,2021-10-31 17:34:46.978746
WHERE THE DEER AND THE ANTELOPE PLAY,2021-10-31,humor,15,2021-10-31 17:34:46.978746
AMERICAN MARXISM,2021-09-26,political science,1,2021-09-26 17:34:46.978746
COUNTDOWN BIN LADEN,2021-09-26,history,2,2021-09-26 17:34:46.978746
THE BODY KEEPS THE SCORE,2021-09-26,medical,3,2021-09-26 17:34:46.978746
BEAUTIFUL COUNTRY,2021-09-26,biography & autobiography,4,2021-09-26 17:34:46.978746
THIS BRIGHT FUTURE,2021-09-26,biography & autobiography,5,2021-09-26 17:34:46.978746
FOREVER YOUNG,2021-09-26,biography & autobiography,7,2021-09-26 17:34:46.978746
THE AFGHANISTAN PAPERS,2021-09-26,history,8,2021-09-26 17:34:46.978746
WHAT HAPPENED TO YOU?,2021-09-26,psychology,9,2021-09-26 17:34:46.978746
GREENLIGHTS,2021-09-26,biography & autobiography,10,2021-09-26 17:34:46.978746
THE LONG SLIDE,2021-09-26,language arts & disciplines,11,2021-09-26 17:34:46.978746
THE AMERICAN EXPERIMENT,2021-09-26,history,12,2021-09-26 17:34:46.978746
BORN A CRIME,2021-09-26,biography & autobiography,13,2021-09-26 17:34:46.978746
BRAIDING SWEETGRASS,2021-09-26,nature,14,2021-09-26 17:34:46.978746
ORDINARY HEROES,2021-09-26,biography & autobiography,15,2021-09-26 17:34:46.978746
AMERICAN MARXISM,2021-08-22,political science,1,2021-08-22 17:34:46.978746
"HERE, RIGHT MATTERS",2021-08-22,biography & autobiography,2,2021-08-22 17:34:46.978746
I ALONE CAN FIX IT,2021-08-22,political science,3,2021-08-22 17:34:46.978746
THE BODY KEEPS THE SCORE,2021-08-22,medical,4,2021-08-22 17:34:46.978746
THE PREMONITION,2021-08-22,political science,5,2021-08-22 17:34:46.978746
HOW I SAVED THE WORLD,2021-08-22,biography & autobiography,6,2021-08-22 17:34:46.978746
THE AUTHORITARIAN MOMENT,2021-08-22,philosophy,7,2021-08-22 17:34:46.978746
GREENLIGHTS,2021-08-22,biography & autobiography,8,2021-08-22 17:34:46.978746
KILLING THE MOB,2021-08-22,history,9,2021-08-22 17:34:46.978746
ALL THE FREQUENT TROUBLES OF OUR DAYS,2021-08-22,biography & autobiography,10,2021-08-22 17:34:46.978746
UNTAMED,2021-08-22,biography & autobiography,11,2021-08-22 17:34:46.978746
CASTE,2021-08-22,social science,12,2021-08-22 17:34:46.978746
WHAT HAPPENED TO YOU?,2021-08-22,psychology,13,2021-08-22 17:34:46.978746
BORN A CRIME,2021-08-22,biography & autobiography,14,2021-08-22 17:34:46.978746
BRAIDING SWEETGRASS,2021-08-22,nature,15,2021-08-22 17:34:46.978746
NIGHTMARE SCENARIO,2021-07-18,political science,1,2021-07-18 17:34:46.978746
THE BODY KEEPS THE SCORE,2021-07-18,medical,2,2021-07-18 17:34:46.978746
(RE)BORN IN THE USA,2021-07-18,biography & autobiography,3,2021-07-18 17:34:46.978746
KILLING THE MOB,2021-07-18,history,4,2021-07-18 17:34:46.978746
UNTAMED,2021-07-18,biography & autobiography,5,2021-07-18 17:34:46.978746
GREENLIGHTS,2021-07-18,biography & autobiography,6,2021-07-18 17:34:46.978746
THE BOMBER MAFIA,2021-07-18,history,7,2021-07-18 17:34:46.978746
CASTE,2021-07-18,social science,8,2021-07-18 17:34:46.978746
THE PREMONITION,2021-07-18,political science,9,2021-07-18 17:34:46.978746
WHAT HAPPENED TO YOU?,2021-07-18,psychology,10,2021-07-18 17:34:46.978746
THE CRUELTY IS THE POINT,2021-07-18,political science,11,2021-07-18 17:34:46.978746
THE ANTHROPOCENE REVIEWED,2021-07-18,literary collections,12,2021-07-18 17:34:46.978746
CRYING IN H MART,2021-07-18,biography & autobiography,14,2021-07-18 17:34:46.978746
BRAIDING SWEETGRASS,2021-07-18,nature,15,2021-07-18 17:34:46.978746
KILLING THE MOB,2021-06-13,history,1,2021-06-13 17:34:46.978746
WHAT HAPPENED TO YOU?,2021-06-13,psychology,2,2021-06-13 17:34:46.978746
THE ANTHROPOCENE REVIEWED,2021-06-13,literary collections,3,2021-06-13 17:34:46.978746
ZERO FAIL,2021-06-13,political science,4,2021-06-13 17:34:46.978746
THE PREMONITION,2021-06-13,political science,5,2021-06-13 17:34:46.978746
THE BODY KEEPS THE SCORE,2021-06-13,medical,6,2021-06-13 17:34:46.978746
GREENLIGHTS,2021-06-13,biography & autobiography,7,2021-06-13 17:34:46.978746
THE BOMBER MAFIA,2021-06-13,history,8,2021-06-13 17:34:46.978746
YEARBOOK,2021-06-13,biography & autobiography,9,2021-06-13 17:34:46.978746
CASTE,2021-06-13,social science,11,2021-06-13 17:34:46.978746
SHAPE,2021-06-13,mathematics,12,2021-06-13 17:34:46.978746
THE HOUSEWIVES,2021-06-13,performing arts,13,2021-06-13 17:34:46.978746
A COURSE CALLED AMERICA,2021-06-13,biography & autobiography,14,2021-06-13 17:34:46.978746
UNTAMED,2021-06-13,biography & autobiography,15,2021-06-13 17:34:46.978746
THIS IS THE FIRE,2021-04-04,history,1,2021-04-04 17:34:46.978746
THE CODE BREAKER,2021-04-04,biography & autobiography,2,2021-04-04 17:34:46.978746
GREENLIGHTS,2021-04-04,biography & autobiography,3,2021-04-04 17:34:46.978746
CASTE,2021-04-04,social science,4,2021-04-04 17:34:46.978746
HOW TO AVOID A CLIMATE DISASTER,2021-04-04,science,5,2021-04-04 17:34:46.978746
THE BODY KEEPS THE SCORE,2021-04-04,medical,6,2021-04-04 17:34:46.978746
BECOMING,2021-04-04,biography & autobiography,7,2021-04-04 17:34:46.978746
UNTAMED,2021-04-04,biography & autobiography,8,2021-04-04 17:34:46.978746
A PROMISED LAND,2021-04-04,biography & autobiography,9,2021-04-04 17:34:46.978746
THINK AGAIN,2021-04-04,business & economics,10,2021-04-04 17:34:46.978746
THE SUM OF US,2021-04-04,social science,11,2021-04-04 17:34:46.978746
JUST AS I AM,2021-04-04,biography & autobiography,12,2021-04-04 17:34:46.978746
NOMADLAND,2021-04-04,social science,13,2021-04-04 17:34:46.978746
UNCOMFORTABLE CONVERSATIONS WITH A BLACK MAN,2021-04-04,social science,14,2021-04-04 17:34:46.978746
WALK IN MY COMBAT BOOTS,2021-04-04,biography & autobiography,15,2021-04-04 17:34:46.978746
WALK IN MY COMBAT BOOTS,2021-02-28,biography & autobiography,1,2021-02-28 17:34:46.978746
JUST AS I AM,2021-02-28,biography & autobiography,2,2021-02-28 17:34:46.978746
THINK AGAIN,2021-02-28,business & economics,3,2021-02-28 17:34:46.978746
A PROMISED LAND,2021-02-28,biography & autobiography,4,2021-02-28 17:34:46.978746
FOUR HUNDRED SOULS,2021-02-28,biography & autobiography,5,2021-02-28 17:34:46.978746
GREENLIGHTS,2021-02-28,biography & autobiography,6,2021-02-28 17:34:46.978746
CASTE,2021-02-28,social science,7,2021-02-28 17:34:46.978746
UNMASKED,2021-02-28,political science,8,2021-02-28 17:34:46.978746
UNTAMED,2021-02-28,biography & autobiography,9,2021-02-28 17:34:46.978746
THE BODY KEEPS THE SCORE,2021-02-28,medical,10,2021-02-28 17:34:46.978746
BETWEEN TWO KINGDOMS,2021-02-28,biography & autobiography,11,2021-02-28 17:34:46.978746
THIS IS HOW THEY TELL ME THE WORLD ENDS,2021-02-28,political science,12,2021-02-28 17:34:46.978746
BECOMING,2021-02-28,biography & autobiography,13,2021-02-28 17:34:46.978746
BRAIDING SWEETGRASS,2021-02-28,nature,14,2021-02-28 17:34:46.978746
THE PRINCESS SPY,2021-02-28,biography & autobiography,15,2021-02-28 17:34:46.978746
A PROMISED LAND,2021-01-24,biography & autobiography,1,2021-01-24 17:34:46.978746
UNTAMED,2021-01-24,biography & autobiography,2,2021-01-24 17:34:46.978746
GREENLIGHTS,2021-01-24,biography & autobiography,3,2021-01-24 17:34:46.978746
ON TYRANNY,2021-01-24,political science,4,2021-01-24 17:34:46.978746
EDUCATED,2021-01-24,biography & autobiography,5,2021-01-24 17:34:46.978746
CASTE,2021-01-24,social science,6,2021-01-24 17:34:46.978746
THE BODY KEEPS THE SCORE,2021-01-24,medical,7,2021-01-24 17:34:46.978746
BECOMING,2021-01-24,biography & autobiography,8,2021-01-24 17:34:46.978746
BRAIDING SWEETGRASS,2021-01-24,nature,9,2021-01-24 17:34:46.978746
THE SPLENDID AND THE VILE,2021-01-24,history,10,2021-01-24 17:34:46.978746
BREATH,2021-01-24,science,11,2021-01-24 17:34:46.978746
WORLD OF WONDERS,2021-01-24,biography & autobiography,12,2021-01-24 17:34:46.978746
HOW TO BE AN ANTIRACIST,2021-01-24,political science,13,2021-01-24 17:34:46.978746
UNCOMFORTABLE CONVERSATIONS WITH A BLACK MAN,2021-01-24,social science,14,2021-01-24 17:34:46.978746
WHITE FRAGILITY,2021-01-24,social science,15,2021-01-24 17:34:46.978746
A PROMISED LAND,2020-12-20,biography & autobiography,1,2020-12-20 17:34:46.978746
GREENLIGHTS,2020-12-20,biography & autobiography,2,2020-12-20 17:34:46.978746
BECOMING,2020-12-20,biography & autobiography,3,2020-12-20 17:34:46.978746
CASTE,2020-12-20,social science,4,2020-12-20 17:34:46.978746
UNTAMED,2020-12-20,biography & autobiography,5,2020-12-20 17:34:46.978746
HILLBILLY ELEGY,2020-12-20,social science,6,2020-12-20 17:34:46.978746
MODERN WARRIORS,2020-12-20,biography & autobiography,7,2020-12-20 17:34:46.978746
IS THIS ANYTHING?,2020-12-20,biography & autobiography,9,2020-12-20 17:34:46.978746
NO TIME LIKE THE FUTURE,2020-12-20,biography & autobiography,10,2020-12-20 17:34:46.978746
SAVING FREEDOM,2020-12-20,cold war,11,2020-12-20 17:34:46.978746
KILLING CRAZY HORSE,2020-12-20,history,12,2020-12-20 17:34:46.978746
HUMANS,2020-12-20,photography,13,2020-12-20 17:34:46.978746
THE SPLENDID AND THE VILE,2020-12-20,history,14,2020-12-20 17:34:46.978746
LET US DREAM,2020-12-20,religion,15,2020-12-20 17:34:46.978746
GREENLIGHTS,2020-11-15,biography & autobiography,1,2020-11-15 17:34:46.978746
UNTAMED,2020-11-15,biography & autobiography,2,2020-11-15 17:34:46.978746
CASTE,2020-11-15,social science,3,2020-11-15 17:34:46.978746
GROUP,2020-11-15,biography & autobiography,4,2020-11-15 17:34:46.978746
KILLING CRAZY HORSE,2020-11-15,history,5,2020-11-15 17:34:46.978746
SHADE,2020-11-15,photography,6,2020-11-15 17:34:46.978746
ONE VOTE AWAY,2020-11-15,political science,7,2020-11-15 17:34:46.978746
BLACKOUT,2020-11-15,political science,8,2020-11-15 17:34:46.978746
