bookID,title,authors,average_rating,isbn,isbn13,category
36047,Exemplary Novels IV: Lady Cornelia  the Deceitful Marriage  the Dialogue of the Dogs,Miguel de Cervantes Saavedra/John Macklin,4.2,0856684988,9.78086E+12,
16791,Death: The High Cost of Living,Neil Gaiman/Chris Bachalo/Mark Buckingham/Tori Amos,4.19,1852864982,9.78185E+12,Boarding schools
19409,The Christians and the Fall of Rome (Great Ideas),Edward Gibbon,3.56,0143036246,9.78014E+12,Church history
13146,Black Friday,James Patterson,3.68,0446609323,9.78045E+12,Suspense fiction
30191,Brighid's Quest (Partholon  #5),P.C. Cast,4.14,0373802420,9.78037E+12,Fiction
34284,The Chronicles of Chrestomanci  Vol. 1 (Chrestomanci  #1-2),Diana Wynne Jones,4.21,006447268X,9.78006E+12,Fiction
4714,The Damned and the Beautiful: American Youth in the 1920's,Paula S. Fass,3.76,0195024923,9.7802E+12,
13569,Tsubasa: RESERVoir CHRoNiCLE  Vol. 3,CLAMP/William Flanagan,4.28,0345471830,9.78035E+12,
10624,"Four Past Midnight: Featuring ""The Langoliers""",Stephen King,3.93,0451185978,9.78045E+12,Fiction
19681,Carrier: A Guided Tour of an Aircraft Carrier (Guided Tour),Tom Clancy/Leon A. Edney,3.82,0425166821,9.78043E+12,
12302,Nathaniel Hawthorne's The Scarlet Letter,Nathaniel Hawthorne/Karin Jacobson,3.4,0764587242,9.78076E+12,
33956,The Spook's Apprentice (The Last Apprentice / Wardstone Chronicles  #1),Joseph Delaney,3.99,0099456451,9.7801E+12,
32916,On the Bus: The Complete Guide to the Legendary Trip of Ken Kesey and the Merry Pranksters and the Birth of Counterculture,Paul Perry/Ken Babbs,3.86,156025114X,9.78156E+12,Fiction
7769,Dr. Seuss's ABC,Dr. Seuss,4.08,0679882812,9.78068E+12,Juvenile Fiction
19888,The Blood Wood (Earthdawn 6113),FASA Corporation/Ian Lemke/Louis J. Prosperi,3.71,1555603130,9.78156E+12,
42718,A Star Called Henry,Roddy Doyle,3.84,0099284480,9.7801E+12,Fiction
8489,Muhammad: A Prophet for Our Time,Karen Armstrong,4.08,0060598972,9.78006E+12,Biography & Autobiography
22409,The Invisibles  Vol. 5: Counting to None,Grant Morrison/Phil Jimenez/John Stokes,4.19,1563894890,9.78156E+12,Comics & Graphic Novels
29471,Journey,James A. Michener,3.81,0449218473,9.78045E+12,Fiction
14688,In the Land of Time: And Other Fantasy Tales,Lord Dunsany/S.T. Joshi,4.12,014243776X,9.78014E+12,
5882,The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4),Rob Kidd/Jean-Paul Orpinas/Walt Disney Company,3.98,1423100611,9.78142E+12,Juvenile Fiction
19496,Moonraker,Ian Fleming,3.74,0141187565,9.78014E+12,Fiction
13728,Bleach  Volume 13,Tite Kubo,4.36,1421506114,9.78142E+12,
11427,Found (Firstborn  #3),Karen Kingsbury,4.44,0842387455,9.78084E+12,Fiction
12827,Strong Motion,Jonathan Franzen,3.52,184115749X,9.78184E+12,Fiction
41962,Light a Penny Candle,Maeve Binchy,3.91,009949857X,9.7801E+12,Fiction
